scenario,sample,replicate,regolith_pct,vermicompost_pct,mycorrhiza,light_hours,dark_days_continuous,radiation_msv_day,gravity_g,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,ph,perchlorate_ppm,glass_fines_pct,transpiration_index,xylem_geometry_risk,dark_lethality_index,xylem_embolism_risk,toxicity_index,dry_root_g,dry_shoot_g,seed_weight_g,slakes,biomass_g,total_seed,height_cm,survival,mortality_probability
simulated_lunar_7,Control-,4,0.0,100.0,0.0,4.0,10.0,1.75505,0.16667,104.5094,28.82589,182.75207,6.08764,23.55568,2.14547,1.43974,0.43978,0.82671,0.85006,0.15389,5.11,13.46,3.34,0.37,0.0,0.0,0.1568,0.0111,0.98
observed_earth_simulant,Control-,5,0.0,100.0,0.0,12.0,0.5,0.02,1.0,128.76439,38.80369,202.00117,6.16709,0.0,0.06992,1.06035,0.36477,0.02298,0.0,0.00214,5.04,12.14,2.75,0.42,17.18,28.0,34.5,1.0,0.0
simulated_lunar_1,Control-,5,0.0,100.0,0.0,16.0,3.0,1.92779,0.16667,120.76572,30.07883,196.16578,6.1069,18.59903,0.0,1.47961,0.76064,0.13296,1.0,0.06975,5.04,12.14,2.75,0.42,7.1438,6.6955,19.4569,1.0,0.5397
simulated_lunar_2,Control-,5,0.0,100.0,0.0,12.0,14.0,0.35515,0.16667,117.59514,30.6698,200.50834,6.00094,22.75626,1.47672,1.31914,0.66669,0.99087,0.98316,0.13046,5.04,12.14,2.75,0.42,0.0,0.0,0.3983,0.0315,0.98
simulated_lunar_3,Control-,5,0.0,100.0,0.0,4.0,14.0,0.64529,0.16667,119.54568,35.66619,174.5487,6.15096,26.22419,1.3917,1.47956,0.82618,0.98309,1.0,0.14086,5.04,12.14,2.75,0.42,0.0,0.0,0.6693,0.0599,0.98
simulated_lunar_4,Control-,5,0.0,100.0,0.0,0.0,3.0,1.73304,0.16667,117.47357,34.90112,182.50862,6.21406,19.02804,4.5881,1.49083,0.62298,0.04209,1.0,0.21155,5.04,12.14,2.75,0.42,0.0,0.0,0.7001,0.056,0.5026
simulated_lunar_5,Control-,5,0.0,100.0,0.0,0.0,7.0,2.13297,0.16667,121.4198,33.42985,178.14972,6.37831,31.5903,1.97769,1.28439,0.71796,0.34865,1.0,0.17889,5.04,12.14,2.75,0.42,0.0,0.0,0.1018,0.0082,0.7168
simulated_lunar_6,Control-,5,0.0,100.0,0.0,0.0,3.0,0.95969,0.16667,116.89581,30.40071,190.02258,5.9174,17.52105,4.67729,1.02877,0.27915,0.04209,0.56863,0.20862,5.04,12.14,2.75,0.42,4.1605,4.4736,18.3764,1.0,0.3942
simulated_lunar_7,Control-,5,0.0,100.0,0.0,12.0,7.0,1.69421,0.16667,126.19924,32.48763,190.33382,5.86783,3.107,2.7214,1.28308,0.83878,0.5775,1.0,0.09481,5.04,12.14,2.75,0.42,0.0034,0.0011,0.0872,0.0069,0.8648
observed_earth_simulant,Control-,6,0.0,100.0,0.0,12.0,0.5,0.02,1.0,121.86009,36.49837,205.00984,6.43034,0.0,0.08749,1.01721,0.34765,0.02298,0.0,0.00267,5.01,11.62,2.98,0.56,16.63,26.0,32.0,1.0,0.0
simulated_lunar_1,Control-,6,0.0,100.0,0.0,8.0,10.0,1.97261,0.16667,125.02527,32.27159,175.80048,6.58544,20.1703,5.24081,1.44717,0.56643,0.86704,0.96233,0.23577,5.01,11.62,2.98,0.56,0.0,0.0,0.6744,0.0552,0.98
simulated_lunar_2,Control-,6,0.0,100.0,0.0,0.0,10.0,0.72103,0.16667,117.55337,30.60445,173.15767,5.98897,3.53723,2.09345,1.29588,0.72714,0.7773,1.0,0.07723,5.01,11.62,2.98,0.56,0.0,0.0,0.2015,0.0201,0.98
simulated_lunar_3,Control-,6,0.0,100.0,0.0,16.0,7.0,0.66393,0.16667,112.83209,32.82733,175.37008,5.81415,5.37453,0.0,1.01138,0.82447,0.65135,0.93255,0.02015,5.01,11.62,2.98,0.56,0.112,0.1266,0.4251,0.0289,0.8861
simulated_lunar_4,Control-,6,0.0,100.0,0.0,0.0,3.0,1.35138,0.16667,118.65149,31.52549,194.44623,5.92906,30.74703,0.62605,1.1096,0.33827,0.04209,0.63941,0.13443,5.01,11.62,2.98,0.56,0.2572,0.2692,1.1397,0.0753,0.397
simulated_lunar_5,Control-,6,0.0,100.0,0.0,0.0,3.0,0.58828,0.16667,121.64752,35.74418,157.84691,6.22994,23.39337,0.5617,1.23336,0.6471,0.04209,0.92409,0.10489,5.01,11.62,2.98,0.56,3.3576,2.3993,16.8748,1.0,0.4623
simulated_lunar_6,Control-,6,0.0,100.0,0.0,8.0,14.0,0.88022,0.16667,112.04974,30.16389,183.18652,5.61525,20.52667,3.82886,1.24386,0.33036,0.98757,0.68348,0.19397,5.01,11.62,2.98,0.56,0.0,0.0,0.0023,0.0002,0.98
simulated_lunar_7,Control-,6,0.0,100.0,0.0,4.0,10.0,1.64322,0.16667,116.04478,32.03918,172.36968,5.92598,0.0,3.15959,1.05496,0.69589,0.82671,0.86817,0.09654,5.01,11.62,2.98,0.56,0.0,0.0,0.4279,0.034,0.98
observed_earth_simulant,Control-,7,0.0,100.0,0.0,12.0,0.5,0.02,1.0,125.71305,37.31766,213.45752,6.28887,0.0,0.0,0.92213,0.26618,0.02298,0.0,0.0,4.34,10.89,2.72,0.28,15.23,27.0,30.0,1.0,0.0
simulated_lunar_1,Control-,7,0.0,100.0,0.0,0.0,14.0,1.60849,0.16667,114.05807,26.18108,170.9974,6.09931,21.49388,2.7762,1.15548,0.38778,0.97702,0.69316,0.16543,4.34,10.89,2.72,0.28,0.0,0.0,0.9177,0.077,0.98
simulated_lunar_2,Control-,7,0.0,100.0,0.0,8.0,3.0,1.74991,0.16667,122.92313,34.64384,197.94321,5.94904,22.01351,4.63969,1.2963,0.81068,0.07586,1.0,0.22432,4.34,10.89,2.72,0.28,2.1012,1.7473,12.5997,1.0,0.5295
simulated_lunar_3,Control-,7,0.0,100.0,0.0,0.0,7.0,0.92663,0.16667,117.71376,30.67951,205.70302,5.97625,3.33667,1.81796,1.23727,0.92764,0.34865,1.0,0.06806,4.34,10.89,2.72,0.28,0.0,0.0,0.4398,0.0412,0.6946
simulated_lunar_4,Control-,7,0.0,100.0,0.0,12.0,3.0,0.65641,0.16667,126.49686,29.74278,200.39548,5.86169,1.23266,3.22631,1.51762,0.89575,0.10088,1.0,0.1032,4.34,10.89,2.72,0.28,0.3215,0.6104,1.102,0.0559,0.5233
simulated_lunar_5,Control-,7,0.0,100.0,0.0,4.0,7.0,0.89043,0.16667,128.16135,33.26361,188.64527,6.47897,43.67473,5.67112,1.23761,0.89949,0.4225,1.0,0.33706,4.34,10.89,2.72,0.28,0.0,0.0,0.5907,0.0564,0.8016
simulated_lunar_6,Control-,7,0.0,100.0,0.0,12.0,7.0,1.02881,0.16667,116.29683,36.1522,178.25976,6.39008,0.0,1.91991,1.6137,0.51121,0.5775,0.98913,0.05866,4.34,10.89,2.72,0.28,1.5978,1.4758,11.813,1.0,0.8548
simulated_lunar_7,Control-,7,0.0,100.0,0.0,8.0,14.0,1.944,0.16667,111.30705,34.13794,174.91977,6.3948,0.0,5.7409,1.64547,0.3791,0.98757,0.87843,0.17542,4.34,10.89,2.72,0.28,0.0,0.0,0.717,0.0685,0.98
observed_earth_simulant,Control-,8,0.0,100.0,0.0,12.0,0.5,0.02,1.0,116.78355,39.67682,205.94349,6.41222,0.0,0.0,0.9801,0.37437,0.02298,0.0,0.0,4.13,7.76,0.6,0.21,11.89,6.0,6.0,1.0,0.0
simulated_lunar_1,Control-,8,0.0,100.0,0.0,4.0,10.0,1.95243,0.16667,116.24809,35.2738,175.81181,5.88193,15.48869,2.14607,1.11786,0.69109,0.82671,0.89769,0.12366,4.13,7.76,0.6,0.21,0.0,0.0,0.0837,0.0376,0.98
simulated_lunar_2,Control-,8,0.0,100.0,0.0,0.0,10.0,1.91945,0.16667,124.96125,30.73206,177.22674,6.39101,19.67718,0.0,1.36605,0.67337,0.7773,1.0,0.07379,4.13,7.76,0.6,0.21,0.0,0.0,0.1489,0.0798,0.98
simulated_lunar_3,Control-,8,0.0,100.0,0.0,0.0,14.0,0.61609,0.16667,120.67363,32.77762,187.76923,6.06938,22.24801,1.16268,1.44838,0.38315,0.97702,0.80482,0.11896,4.13,7.76,0.6,0.21,0.0,0.0,0.1188,0.0545,0.98
simulated_lunar_4,Control-,8,0.0,100.0,0.0,12.0,7.0,1.24557,0.16667,114.96049,31.9117,176.37974,5.93091,3.04209,0.0,1.15527,0.60995,0.5775,0.85727,0.01141,4.13,7.76,0.6,0.21,0.1321,0.0237,0.2228,0.0756,0.8124
simulated_lunar_5,Control-,8,0.0,100.0,0.0,8.0,14.0,1.90608,0.16667,121.42707,33.92746,196.22942,5.95364,19.08496,0.14689,1.1972,0.94452,0.98757,1.0,0.07606,4.13,7.76,0.6,0.21,0.0,0.0,0.1683,0.0782,0.98
simulated_lunar_6,Control-,8,0.0,100.0,0.0,0.0,14.0,1.88239,0.16667,131.33922,30.02882,187.69055,6.4571,19.75952,3.77432,1.29881,0.7756,0.97702,1.0,0.18942,4.13,7.76,0.6,0.21,0.0,0.0,0.02,0.0109,0.98
simulated_lunar_7,Control-,8,0.0,100.0,0.0,12.0,3.0,1.40119,0.16667,133.42873,32.85577,179.81629,6.00721,40.30031,2.97963,1.38557,0.60456,0.10088,0.96524,0.24217,4.13,7.76,0.6,0.21,3.7373,1.49,3.6464,1.0,0.5424
observed_earth_simulant,Control+,1,0.0,100.0,1.0,12.0,0.5,0.02,1.0,142.6732,49.72866,215.59491,6.00475,0.0,0.0,0.94544,0.23843,0.02298,0.0,0.0,5.45,11.99,3.08,0.53,17.44,25.0,36.0,1.0,0.0
simulated_lunar_1,Control+,1,0.0,100.0,1.0,0.0,7.0,1.73289,0.16667,145.83387,49.45323,207.47659,5.74098,28.11505,0.39499,1.45207,0.39834,0.34865,0.8194,0.1175,5.45,11.99,3.08,0.53,0.0719,0.0389,0.4465,0.0295,0.6594
simulated_lunar_2,Control+,1,0.0,100.0,1.0,8.0,3.0,1.58219,0.16667,148.3073,40.89606,215.97388,6.08708,13.63675,0.2751,1.13417,0.67655,0.07586,0.8956,0.05954,5.45,11.99,3.08,0.53,0.4925,0.3954,1.1646,0.0561,0.4704
simulated_lunar_3,Control+,1,0.0,100.0,1.0,0.0,10.0,2.19226,0.16667,148.36288,46.463,201.42517,5.87363,0.0,6.04,1.22597,0.64051,0.7773,0.91529,0.18456,5.45,11.99,3.08,0.53,0.0,0.0,0.9269,0.0708,0.98
simulated_lunar_4,Control+,1,0.0,100.0,1.0,8.0,3.0,1.61153,0.16667,134.58605,45.66447,225.74161,5.93654,31.23828,4.40004,1.27941,0.87627,0.07586,1.0,0.25159,5.45,11.99,3.08,0.53,4.9542,4.9129,23.3819,1.0,0.5349
simulated_lunar_5,Control+,1,0.0,100.0,1.0,12.0,3.0,1.55926,0.16667,137.21305,41.85553,233.90781,5.96704,18.29342,3.5368,1.23764,0.77387,0.10088,1.0,0.17667,5.45,11.99,3.08,0.53,0.1704,0.1488,0.3786,0.0173,0.538
simulated_lunar_6,Control+,1,0.0,100.0,1.0,16.0,3.0,0.82682,0.16667,142.80944,53.83876,209.44001,5.57337,11.73501,5.59344,1.5301,0.29885,0.13296,0.76132,0.21492,5.45,11.99,3.08,0.53,0.8721,0.7828,1.807,0.0631,0.509
simulated_lunar_7,Control+,1,0.0,100.0,1.0,4.0,14.0,1.29956,0.16667,143.75223,41.58935,215.52181,5.68371,30.83393,3.99847,1.35048,0.78742,0.98309,1.0,0.2378,5.45,11.99,3.08,0.53,0.0,0.0,0.4613,0.0417,0.98
observed_earth_simulant,Control+,2,0.0,100.0,1.0,12.0,0.5,0.02,1.0,142.59946,43.99078,231.06757,5.92556,0.0,0.0,1.01977,0.23293,0.02298,0.0,0.0,6.11,12.31,3.54,0.51,18.42,30.0,34.0,1.0,0.0
simulated_lunar_1,Control+,2,0.0,100.0,1.0,16.0,7.0,0.4248,0.16667,142.32017,44.33502,229.78316,5.75074,14.28511,4.95821,1.29253,0.54029,0.65135,0.8688,0.20507,6.11,12.31,3.54,0.51,0.0746,0.1021,0.1865,0.0079,0.9072
simulated_lunar_2,Control+,2,0.0,100.0,1.0,16.0,7.0,1.11713,0.16667,150.30727,42.99505,218.65843,5.74167,16.45162,0.78268,1.24714,0.91519,0.65135,1.0,0.08561,6.11,12.31,3.54,0.51,0.2348,0.2418,0.7703,0.0379,0.9161
simulated_lunar_3,Control+,2,0.0,100.0,1.0,8.0,7.0,1.3571,0.16667,149.66933,41.70208,205.03366,5.871,24.27222,0.70692,1.51187,0.76271,0.5,1.0,0.11262,6.11,12.31,3.54,0.51,3.3478,3.3369,16.1535,1.0,0.8125
simulated_lunar_4,Control+,2,0.0,100.0,1.0,8.0,3.0,1.39805,0.16667,146.71399,49.26741,213.92536,6.01447,25.55881,0.91907,1.31861,0.80542,0.07586,1.0,0.12393,6.11,12.31,3.54,0.51,9.1813,10.8938,22.1166,1.0,0.5094
simulated_lunar_5,Control+,2,0.0,100.0,1.0,16.0,3.0,1.45709,0.16667,133.58028,42.47514,197.5551,6.07716,20.02373,2.85148,0.89512,0.46327,0.13296,0.63788,0.16222,6.11,12.31,3.54,0.51,0.165,0.1689,0.3479,0.0115,0.4676
simulated_lunar_6,Control+,2,0.0,100.0,1.0,0.0,3.0,1.71761,0.16667,145.81424,48.05565,206.7637,6.08176,13.69554,0.0,1.23089,0.23946,0.04209,0.60859,0.05136,6.11,12.31,3.54,0.51,0.433,0.4255,1.133,0.0494,0.3727
simulated_lunar_7,Control+,2,0.0,100.0,1.0,12.0,14.0,1.08695,0.16667,142.61093,45.77176,227.04626,5.86541,23.60986,1.33087,1.08274,0.5952,0.99087,0.8114,0.1292,6.11,12.31,3.54,0.51,0.0429,0.0202,0.2333,0.0176,0.98
observed_earth_simulant,Control+,3,0.0,100.0,1.0,12.0,0.5,0.02,1.0,149.43188,44.84958,230.58767,5.88119,0.0,0.21378,1.04817,0.2889,0.02298,0.0,0.00653,5.04,10.33,2.89,0.49,15.370000000000001,19.0,24.3,1.0,0.0
simulated_lunar_1,Control+,3,0.0,100.0,1.0,4.0,14.0,1.31191,0.16667,145.27547,48.80746,207.47391,5.75723,0.0,4.48389,1.11608,0.2584,0.98309,0.58411,0.13701,5.04,10.33,2.89,0.49,0.0,0.0,0.2757,0.0343,0.98
simulated_lunar_2,Control+,3,0.0,100.0,1.0,12.0,3.0,2.13578,0.16667,147.46322,48.43462,238.70217,5.62363,23.31311,1.11498,1.44716,0.2794,0.10088,0.71491,0.12149,5.04,10.33,2.89,0.49,0.2345,0.3291,0.599,0.032,0.4557
simulated_lunar_3,Control+,3,0.0,100.0,1.0,4.0,10.0,1.78032,0.16667,154.05077,46.96175,205.2662,5.8949,20.13602,0.66514,1.55033,0.31077,0.82671,0.77934,0.09583,5.04,10.33,2.89,0.49,0.0,0.0,0.1881,0.0205,0.98
simulated_lunar_4,Control+,3,0.0,100.0,1.0,0.0,7.0,2.10746,0.16667,141.01059,42.67537,203.35038,5.67758,10.81625,0.76601,0.96213,0.68224,0.34865,0.8105,0.06397,5.04,10.33,2.89,0.49,1.126,0.752,9.2701,1.0,0.6464
simulated_lunar_5,Control+,3,0.0,100.0,1.0,12.0,3.0,1.19095,0.16667,134.32129,41.06692,203.61667,5.81878,31.91984,3.50051,1.46786,0.41531,0.10088,0.84047,0.22666,5.04,10.33,2.89,0.49,9.6622,6.1445,17.5264,1.0,0.5081
simulated_lunar_6,Control+,3,0.0,100.0,1.0,12.0,14.0,1.40263,0.16667,145.7964,49.71468,207.42214,6.34348,25.81452,1.33705,1.24941,0.65375,0.99087,0.93736,0.13766,5.04,10.33,2.89,0.49,0.0203,0.0071,0.7421,0.0766,0.98
simulated_lunar_7,Control+,3,0.0,100.0,1.0,0.0,7.0,0.37437,0.16667,137.53978,36.11784,196.72462,5.87866,0.0,5.87518,1.06388,0.70917,0.34865,0.88215,0.17952,5.04,10.33,2.89,0.49,0.115,0.0698,0.567,0.0505,0.6875
observed_earth_simulant,Control+,5,0.0,100.0,1.0,12.0,0.5,0.02,1.0,147.48615,44.84693,233.98639,6.16464,0.0,0.0,0.97263,0.23304,0.02298,0.0,0.0,6.54,13.45,3.78,0.28,19.99,34.0,32.5,1.0,0.0
simulated_lunar_1,Control+,5,0.0,100.0,1.0,4.0,10.0,0.88944,0.16667,141.2532,42.54015,198.31335,6.13657,33.93239,4.7049,1.41689,0.68262,0.82671,1.0,0.27101,6.54,13.45,3.78,0.28,0.0,0.0,0.1336,0.0102,0.98
simulated_lunar_2,Control+,5,0.0,100.0,1.0,16.0,3.0,1.52745,0.16667,137.27895,46.31616,208.08267,6.01584,25.5866,7.23567,1.17146,0.30317,0.13296,0.63636,0.31704,6.54,13.45,3.78,0.28,0.8145,1.6081,1.9547,0.0676,0.4982
simulated_lunar_3,Control+,5,0.0,100.0,1.0,16.0,3.0,1.55767,0.16667,144.49403,47.96873,201.33113,5.82518,13.35077,3.79362,1.55087,0.66856,0.13296,1.0,0.16598,6.54,13.45,3.78,0.28,13.6175,13.2206,23.8557,1.0,0.5589
simulated_lunar_4,Control+,5,0.0,100.0,1.0,4.0,14.0,1.46013,0.16667,144.21035,39.75007,213.89031,6.06713,41.95281,1.74859,1.39735,0.70873,0.98309,1.0,0.21075,6.54,13.45,3.78,0.28,0.0,0.0,0.4033,0.0352,0.98
simulated_lunar_5,Control+,5,0.0,100.0,1.0,12.0,7.0,1.85209,0.16667,141.01865,45.51831,206.78688,5.91999,38.04428,4.28849,1.13724,0.27694,0.5775,0.60488,0.2737,6.54,13.45,3.78,0.28,6.4981,5.4415,18.8918,1.0,0.8018
simulated_lunar_6,Control+,5,0.0,100.0,1.0,8.0,14.0,2.02008,0.16667,149.15897,47.57157,221.02609,5.87318,5.62216,3.06072,1.35872,0.57651,0.98757,0.92905,0.11461,6.54,13.45,3.78,0.28,0.0,0.0,1.0226,0.0796,0.98
simulated_lunar_7,Control+,5,0.0,100.0,1.0,8.0,7.0,0.56144,0.16667,144.44145,43.70353,234.97787,5.88366,10.78188,1.89822,1.11121,0.20394,0.5,0.54322,0.09843,6.54,13.45,3.78,0.28,0.2143,0.2497,0.4658,0.0205,0.6955
observed_earth_simulant,Control+,6,0.0,100.0,1.0,12.0,0.5,0.02,1.0,141.08738,45.83142,228.39414,6.07869,0.0,0.24922,1.0185,0.34702,0.02298,0.0,0.00761,6.87,12.72,3.4,0.44,19.59,27.0,34.9,1.0,0.0
